OECD,Reading,Math,Science
Australia,512,504,521
Austria,490,506,506
Belgium,509,515,505
Canada,523,518,525
Chile,441,423,445
Czech Republic,493,499,508
Denmark,496,500,498
Estonia,516,521,541
Finland,524,519,545
France,505,495,499
Germany,508,514,524
Greece,477,453,467
Hungary,488,477,494
Iceland,483,493,478
Ireland,523,501,522
Israel,486,466,470
Italy,490,485,494
Japan,538,536,547
Korea,536,554,538
Luxembourg,488,490,491
Mexico,424,413,415
Netherlands,511,523,522
New Zealand,512,500,516
Norway,504,489,495
Poland,518,518,526
Portugal,488,487,489
Slovak Republic,463,482,471
Slovenia,481,501,514
Spain,488,484,496
Sweden,483,478,485
Switzerland,509,531,515
Turkey,475,448,463
United Kingdom,499,494,514
United States,498,481,497
Albania,394,394,501
Argentina,396,388,501
Brazil,410,391,405
Bulgaria,436,439,446
Colombia,403,376,399
Costa Rica,441,407,429
Croatia,485,471,491
Dubai (UAE),468,464,474
Hong Kong-China,545,561,555
Indonesia,396,375,382
Jordan,399,386,409
Kazakhstan,393,432,425
Latvia,489,491,502
Liechtenstein,516,535,525
Lithuania,477,479,496
Macao-China,509,538,521
Malaysia,398,421,420
Montenegro,422,410,410
Peru,384,368,373
Qatar,388,376,384
Romania,438,445,439
Russian Federation,475,482,486
Serbia,446,449,445
Shanghai-China,570,613,580
Singapore,542,573,551
Chinese Taipei,523,560,523
Thailand,441,427,444
Tunisia,404,388,398
United Arab Emirates - Ex. Dubai,432,423,439
Uruguay,411,409,416
